dataset,shapelet_num,shapelet_len,crop_len,train_acc,test_acc
SonyAIBORobotSurface1,40,10,7,0.950000,0.725458
SonyAIBORobotSurface1,40,10,10,0.950000,0.755408
SonyAIBORobotSurface1,40,17,3,1.000000,0.735441
SonyAIBORobotSurface1,40,17,8,0.850000,0.733777
SonyAIBORobotSurface1,40,17,11,0.950000,0.653910
SonyAIBORobotSurface1,40,17,17,0.900000,0.773710
SonyAIBORobotSurface1,40,24,4,0.850000,0.705491
SonyAIBORobotSurface1,40,24,12,0.550000,0.727121
SonyAIBORobotSurface1,40,24,16,0.950000,0.816972
SonyAIBORobotSurface1,40,24,24,1.000000,0.687188
SonyAIBORobotSurface1,50,10,2,0.900000,0.775374
SonyAIBORobotSurface1,50,10,5,0.950000,0.728785
SonyAIBORobotSurface1,50,10,7,0.950000,0.743760
SonyAIBORobotSurface1,50,10,10,1.000000,0.765391
SonyAIBORobotSurface1,50,17,3,0.950000,0.730449
SonyAIBORobotSurface1,50,17,8,0.950000,0.750416
SonyAIBORobotSurface1,50,17,11,0.850000,0.723794
SonyAIBORobotSurface1,50,17,17,0.900000,0.698835
SonyAIBORobotSurface1,50,24,4,1.000000,0.687188
SonyAIBORobotSurface1,50,24,12,0.900000,0.780366
SonyAIBORobotSurface1,50,24,16,1.000000,0.722130
SonyAIBORobotSurface1,60,10,2,1.000000,0.752080
SonyAIBORobotSurface1,60,10,5,1.000000,0.813644
SonyAIBORobotSurface1,60,10,7,0.950000,0.737105
SonyAIBORobotSurface1,60,10,10,0.950000,0.768719
SonyAIBORobotSurface1,60,17,3,0.950000,0.733777
SonyAIBORobotSurface1,60,17,8,0.900000,0.768719
SonyAIBORobotSurface1,60,17,11,0.950000,0.762063
SonyAIBORobotSurface1,60,17,17,0.950000,0.765391
SonyAIBORobotSurface1,60,24,4,0.900000,0.798669
SonyAIBORobotSurface1,60,24,12,1.000000,0.743760
SonyAIBORobotSurface1,60,24,16,0.900000,0.715474
SonyAIBORobotSurface2,40,9,1,1.000000,0.887723
SonyAIBORobotSurface2,40,9,4,1.000000,0.868835
SonyAIBORobotSurface2,40,9,6,0.925926,0.824764
SonyAIBORobotSurface2,40,9,9,1.000000,0.865687
SonyAIBORobotSurface2,40,16,3,1.000000,0.857293
SonyAIBORobotSurface2,40,16,8,0.962963,0.856243
SonyAIBORobotSurface2,40,16,11,1.000000,0.916055
SonyAIBORobotSurface2,40,16,16,1.000000,0.886674
SonyAIBORobotSurface2,40,22,4,0.962963,0.875131
SonyAIBORobotSurface2,40,22,11,0.962963,0.871983
SonyAIBORobotSurface2,40,22,15,1.000000,0.806925
SonyAIBORobotSurface2,40,22,22,1.000000,0.800630
SonyAIBORobotSurface2,50,9,1,0.962963,0.926548
SonyAIBORobotSurface2,50,9,4,1.000000,0.933893
SonyAIBORobotSurface2,50,9,6,1.000000,0.883526
SonyAIBORobotSurface2,50,9,9,1.000000,0.906611
SonyAIBORobotSurface2,50,16,3,1.000000,0.890871
SonyAIBORobotSurface2,50,16,8,1.000000,0.927597
SonyAIBORobotSurface2,50,16,11,1.000000,0.911857
SonyAIBORobotSurface2,50,16,16,0.962963,0.874082
SonyAIBORobotSurface2,50,22,4,1.000000,0.874082
SonyAIBORobotSurface2,50,22,11,0.962963,0.884575
SonyAIBORobotSurface2,50,22,15,0.962963,0.836306
SonyAIBORobotSurface2,50,22,22,0.962963,0.834208
SonyAIBORobotSurface2,60,9,1,1.000000,0.859391
SonyAIBORobotSurface2,60,9,4,0.962963,0.886674
SonyAIBORobotSurface2,60,9,6,0.962963,0.879328
SonyAIBORobotSurface2,60,9,9,1.000000,0.870934
SonyAIBORobotSurface2,60,16,3,0.962963,0.886674
SonyAIBORobotSurface2,60,16,8,0.962963,0.899265
SonyAIBORobotSurface2,60,16,11,1.000000,0.917104
SonyAIBORobotSurface2,60,16,16,1.000000,0.887723
SonyAIBORobotSurface2,60,22,4,0.962963,0.860441
SonyAIBORobotSurface2,60,22,11,0.888889,0.846800
SonyAIBORobotSurface2,60,22,15,1.000000,0.810073
Strawberry,40,35,7,0.978793,0.959459
Strawberry,40,35,17,0.985318,0.959459
Strawberry,40,35,24,0.978793,0.959459
Strawberry,40,35,35,0.970636,0.948649
Strawberry,40,58,11,0.969005,0.956757
Strawberry,40,58,29,0.980424,0.962162
